Number of Members,Group Name,Location,Meetup Link,Organizer ID,Organizer Image
1172,WeLoveToTravelSeMo,Marina del Rey,https://www.meetup.com/WeLoveToTravelSeMo/,19058581,http://photos1.meetupstatic.com/photos/member/6/e/3/d/member_17428221.jpeg
813,FloridaFoodandWine,Bonita Springs,https://www.meetup.com/FloridaFoodandWine/,8240733,http://photos1.meetupstatic.com/photos/member/a/3/f/4/member_55421972.jpeg
746,Colorado-Springs-Festivals-Meetup,Colorado Springs,https://www.meetup.com/Colorado-Springs-Festivals-Meetup/,142105472,Tracy F
745,InnerChef,Long Beach,https://www.meetup.com/InnerChef/,4667371,http://photos4.meetupstatic.com/photos/member/b/1/5/3/member_249045395.jpeg
583,Drunk-History-Book-Club-Brooklyn,Brooklyn,https://www.meetup.com/Drunk-History-Book-Club-Brooklyn/,5836366,http://photos4.meetupstatic.com/photos/member/6/5/b/a/member_248246042.jpeg
534,Garland-Rowlett-Plano-and-more,Garland,https://www.meetup.com/Garland-Rowlett-Plano-and-more/,8500995,http://photos2.meetupstatic.com/photos/member/4/8/4/c/member_10818508.jpeg
364,Paris-Wine-World,Paris,https://www.meetup.com/Paris-Wine-World/,113737232,http://photos4.meetupstatic.com/photos/member/d/c/0/2/member_199076322.jpeg
359,International-Wine-Food-Society-of-Dallas,Dallas,https://www.meetup.com/International-Wine-Food-Society-of-Dallas/,205774658,http://photos2.meetupstatic.com/photos/member/7/9/e/6/member_256831206.jpeg
339,Trinkt-Wein,Berlin,https://www.meetup.com/Trinkt-Wein/,195194208,http://photos1.meetupstatic.com/photos/member/5/9/3/member_251941427.jpeg
322,Crows-Nest-Tea-Cake-Cocktails-Meetup,Sydney,https://www.meetup.com/Crows-Nest-Tea-Cake-Cocktails-Meetup/,187991734,http://photos1.meetupstatic.com/photos/member/2/1/4/7/member_252728519.jpeg
284,Sydney-Wine-Meetup,Sydney,https://www.meetup.com/Sydney-Wine-Meetup/,170554692,http://photos3.meetupstatic.com/photos/member/6/8/3/4/member_258086676.jpeg
212,Wine-Wouldnt-You-Meetup,Falls Church,https://www.meetup.com/Wine-Wouldnt-You-Meetup/,116799982,Christiana D-A
187,Kedzie-Western-50-Somethings,Chicago,https://www.meetup.com/Kedzie-Western-50-Somethings/,57289462,http://photos1.meetupstatic.com/photos/member/8/b/b/2/member_210515762.jpeg
184,Food-Wine-Lovers,Amsterdam,https://www.meetup.com/Food-Wine-Lovers/,15362151,http://photos2.meetupstatic.com/photos/member/3/9/9/8/member_255914744.jpeg
144,Blind-Wine-Tasting-Party,Hong Kong,https://www.meetup.com/Blind-Wine-Tasting-Party/,198460585,http://photos1.meetupstatic.com/photos/member/a/4/7/d/member_257742109.jpeg
130,Inspiring-meetup-experiences,Bromley,https://www.meetup.com/Inspiring-meetup-experiences/,197460197,http://photos4.meetupstatic.com/photos/member/e/6/2/d/member_253678925.jpeg
120,Bay-Area-Wine-Socials,Palo Alto,https://www.meetup.com/Bay-Area-Wine-Socials/,8699425,http://photos1.meetupstatic.com/photos/member/7/b/3/9/member_256711545.jpeg
83,Bon-Vivant-Brunch-Dinner-Club,Bethlehem,https://www.meetup.com/Bon-Vivant-Brunch-Dinner-Club/,96650612,http://photos2.meetupstatic.com/photos/member/3/9/5/d/member_257594685.jpeg
59,The-Grape-Group-Women-and-Wine,Denver,https://www.meetup.com/The-Grape-Group-Women-and-Wine/,193328298,http://photos4.meetupstatic.com/photos/member/2/d/3/1/member_251411569.jpeg
52,Treasure-Coast-Girlfriends,Port Saint Lucie,https://www.meetup.com/Treasure-Coast-Girlfriends/,86283102,http://photos3.meetupstatic.com/photos/member/e/a/4/c/member_260999980.jpeg
50,Teignmouth-Wine-Appreciation-Meetup-Taste-the-difference,Teignmouth,https://www.meetup.com/Teignmouth-Wine-Appreciation-Meetup-Taste-the-difference/,56576472,http://photos3.meetupstatic.com/photos/member/d/5/7/c/member_74934652.jpeg
34,Halifax-Savvy-Sippers,Halifax,https://www.meetup.com/Halifax-Savvy-Sippers/,7367278,Gloria
1,WineClubVancouver,Vancouver,https://www.meetup.com/WineClubVancouver/,3066462,http://photos3.meetupstatic.com/photos/member/4/f/a/a/member_250040394.jpeg
